defect_id,severity,surface,route,tester_id,professional_identity,personality,new_user_or_power_user,steps_to_reproduce,expected_result,actual_result,artifact_or_task_ids,console_error,screenshot_path,recommended_fix,blocking_status
"AG03-Q1-040","P1","CES Calendar generation","/ces/calendar?event=medical_necessity_audit-20260309-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=medical_necessity_audit-20260309-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-041","P1","CES Calendar generation","/ces/calendar?event=medication_management_audit-20260309-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=medication_management_audit-20260309-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-042","P1","CES Calendar generation","/ces/calendar?event=missed_visit_audit-20260309-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=missed_visit_audit-20260309-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-043","P1","CES Calendar generation","/ces/calendar?event=oasis_accuracy_audit-20260309-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=oasis_accuracy_audit-20260309-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-044","P1","CES Calendar generation","/ces/calendar?event=orders_alignment_audit-20260309-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=orders_alignment_audit-20260309-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-045","P1","CES Calendar generation","/ces/calendar?event=pre_bill_audit-20260309-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=pre_bill_audit-20260309-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-046","P1","CES Calendar generation","/ces/calendar?event=visit_documentation_audit-20260309-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=visit_documentation_audit-20260309-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-047","P1","CES Calendar generation","/ces/calendar?event=hha_aide_observation-20260311-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=hha_aide_observation-20260311-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-048","P1","CES Calendar generation","/ces/calendar?event=internal_compliance_audit-20260316-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=internal_compliance_audit-20260316-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-049","P1","CES Calendar generation","/ces/calendar?event=staff_file_audit-20260316-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=staff_file_audit-20260316-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-050","P1","CES Calendar generation","/ces/calendar?event=ep_exercise-20260318-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=ep_exercise-20260318-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-051","P1","CES Calendar generation","/ces/calendar?event=documentation_alignment_audit-20260323-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=documentation_alignment_audit-20260323-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-052","P1","CES Calendar generation","/ces/calendar?event=incident_response_audit-20260323-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=incident_response_audit-20260323-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-053","P1","CES Calendar generation","/ces/calendar?event=infection_control_review_quarterly-20260325-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=infection_control_review_quarterly-20260325-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
"AG03-Q1-054","P1","CES Calendar generation","/ces/calendar?event=hhcahps_filing-20260331-01&workflow=1","ADM-05","Administrator","Frontline Workflow Realist","power-user","Deep link to canonical Q1 event","Event opens by stable event_id and shows workflow/task detail","Event not visibly resolved. Excerpt: TP PRIMARY OPERATIONS Dashboard Clinician Profiles Patient Profiles Calendar Brad COMPLIANCE EXECUTION Compliance Execution (CES) Taxonomy Onboarding Policy Lifecycle Evidence ADMINISTRATION / KNOWLEDGE Hubstaff System Documentation Help Center Demo Admin EVENT CALENDAR Regulatory events · May 2026 ","event_id=hhcahps_filing-20260331-01","","","Ensure Q1 event IDs resolve in calendar deep links.","BLOCKING"
