Module,Location,Text to Clone (TTS Narration Script),Image Generation Prompt,Video Generation Prompt,Estimated Video Length
ACHC-ART-M07 — Workplace & Patient Safety (OSHA),Journey/M07/Lesson 2/Card 2 — Content,"A GHS label has six required elements: product identifier, signal word — danger or warning, hazard statements, precautionary statements, pictograms, and supplier information. In the field, Section 8 of the SDS is your practical reference — it tells you the glove type, respiratory protection level, and eye protection required. If you find an unlabeled container or an unfamiliar chemical in a patient's home, do not use it. Request an SDS or contact poison control at 1-800-222-1222.",A nurse examining an unlabeled spray bottle with a cautious expression before setting it aside and reaching for her phone. Realistic home setting. Photorealistic.,A 45-second animated GHS label breakdown. Six label elements appear labeled. Then a field scenario: unlabeled container — nurse sets it aside — calls poison control. Text: When in doubt don't use it.,45 seconds
ACHC-ART-M07 — Workplace & Patient Safety (OSHA),Journey/M07/Lesson 2/Card 3 — Challenge,"Scenario. A patient hands you an unlabeled spray bottle. She says the doctor used it to clean around the wound last time. The bottle has a faint chemical smell. You don't recognize it. What do you do? What risks are you protecting against? What do you tell the patient?",,, 
ACHC-ART-M07 — Workplace & Patient Safety (OSHA),Journey/M07/Lesson 3/Card 1 — Summary,"Incident reporting is not a punitive process. It is the safety system. A near-miss report — something that almost caused harm but didn't — is equally as important as an injury report, because near misses reveal systemic hazards before they injure someone. Your report protects the next employee who faces the same situation.",A nurse submitting an incident report on a tablet with a focused professional expression. Clean office environment visible in the background. Photorealistic.,A 30-second animated card. Two icons: Injury report and Near-Miss report — both shown as equally important inputs to a safety system. Text: Your report protects the next worker.,30 seconds
ACHC-ART-M07 — Workplace & Patient Safety (OSHA),Journey/M07/Lesson 3/Card 2 — Content,"Workplace injury: notify your supervisor immediately — do not wait until the end of your shift. Complete the incident report within twenty-four hours. Seek medical evaluation if the injury requires treatment. Your report triggers the OSHA three-hundred log entry. For medical device reporting: if a device malfunction causes or could cause patient death or serious injury, report to your supervisor immediately. The administrator has ten working days to submit FDA Form 3500A. Do not return or repair the device until risk management clears it.",A flowchart graphic showing workplace injury reporting steps and FDA MDR reporting steps as two parallel pathways. Professional and clean design.,A 45-second two-pathway animation. Left: Workplace injury — Immediate supervisor notification — 24-hour report — OSHA 300 log. Right: Device malfunction — Supervisor — 10 working days — FDA Form 3500A.,45 seconds
ACHC-ART-M07 — Workplace & Patient Safety (OSHA),Journey/M07/Lesson 3/Card 3 — Challenge,"Scenario. During a transfer assist, the hospital bed rail collapses. The patient falls and has a hip bruise. She refuses to go to the hospital. List your first three immediate actions. What do you document about the device? Is this an MDR-reportable event and why?",,, 
ACHC-ART-M08 — Patient Rights & Responsibilities,Journey/M08/Lesson 1/Card 1 — Summary,"The Patient Bill of Rights is not a mission statement. It is a legally enforceable set of protections under the CMS Conditions of Participation at 42 CFR 484.50. Every patient receives these rights at admission and must be reminded of them on request. You are personally responsible for upholding them at every visit.",A nurse handing a Patient Bill of Rights document to an elderly patient at his kitchen table. Professional and respectful. Warm home setting. Photorealistic.,A 30-second animated card. Patient Bill of Rights document icon with a shield labeled 42 CFR 484.50. Text: Legally enforceable. Not optional. You are responsible.,30 seconds
ACHC-ART-M08 — Patient Rights & Responsibilities,Journey/M08/Lesson 1/Card 2 — Content,"Seven core rights in home health. The right to be informed — in their language about their care and diagnosis. The right to participate in care planning, including the right to refuse treatment. The right to privacy and confidentiality. The right to dignity and respect regardless of their condition or behavior. The right to receive care without discrimination. The right to voice grievances without retaliation. And the right to be informed of charges before care begins. Every visit is an opportunity to either uphold or violate these rights.",A clean numbered list infographic showing seven patient rights with a brief label for each. Professional healthcare design.,A 45-second animated card. Seven rights appear sequentially numbered. Each right has a brief scenario icon showing what upholding it looks like in a home health visit.,45 seconds
ACHC-ART-M08 — Patient Rights & Responsibilities,Journey/M08/Lesson 1/Card 3 — Challenge,"Scenario. The patient says she doesn't want wound care today — she's tired and has visitors coming. At your last visit three days ago, the wound showed early signs of infection. What patient right is at stake? What are your clinical and documentation obligations? Can you proceed without consent?",,, 
ACHC-ART-M08 — Patient Rights & Responsibilities,Journey/M08/Lesson 2/Card 1 — Summary,"An advance directive is the patient's legally recognized voice for a time when they can no longer speak for themselves. Honoring it — even when a family member is pressuring you not to — is both an ethical obligation and a legal requirement. The patient made this decision when they had capacity. Your role is to honor it.",A DNR document on a refrigerator door in a patient's home. Clear and visible. A nurse is noting its location on her tablet. Photorealistic. Clean and sobering.,A 30-second animated card. An advance directive document appears. Family pressure icon with an X. Shield labeled Patient's Voice with a green checkmark. Text: The document controls.,30 seconds
ACHC-ART-M08 — Patient Rights & Responsibilities,Journey/M08/Lesson 2/Card 2 — Content,"Know your advance directive types. A DNR means do not attempt CPR — it must be physician-signed and on file. A POLST is more comprehensive and covers intubation, hospitalization, and artificial nutrition decisions. A Living Will contains the patient's specific instructions for end-of-life care. A Healthcare Power of Attorney designates who makes decisions if the patient loses capacity. Your obligations are clear: know whether a directive exists, document its location in every visit note, and never attempt resuscitation if a valid DNR is on file.",Four labeled directive document icons side by side: DNR, POLST, Living Will, Healthcare POA. Clean medical illustration.,A 45-second animated card. Four directive types defined sequentially. Three field obligations appear at the end: Know it — Document its location — Honor it.,45 seconds
ACHC-ART-M08 — Patient Rights & Responsibilities,Journey/M08/Lesson 2/Card 3 — Challenge,"Scenario. The patient is unresponsive with agonal breathing. A valid physician-signed DNR is on the refrigerator. Her son grabs your arm and says: ignore that paper, save her, she changed her mind. What is the legally and clinically correct response? What do you do and document?",,, 
ACHC-ART-M08 — Patient Rights & Responsibilities,Journey/M08/Lesson 3/Card 1 — Summary,"As a home health worker, you are a mandatory reporter under California law. You are legally required to report suspected abuse, neglect, or exploitation of elderly or dependent adults. The threshold is reasonable suspicion — not proof. You do not investigate. You report. Failure to report when you had reasonable suspicion is a misdemeanor.",A focused home health nurse documenting observations on a tablet after noticing concerning signs on a patient. Serious and professional. Photorealistic.,A 30-second animated card. Mandatory reporter badge icon. Threshold meter showing: Proof not required — Suspicion is sufficient. Bold text: Report. Don't investigate.,30 seconds
ACHC-ART-M08 — Patient Rights & Responsibilities,Journey/M08/Lesson 3/Card 2 — Content,"Physical abuse indicators: unexplained bruising, especially bilateral bruising at the same stage of healing, fractures, burns, and grip marks. Emotional abuse: fearfulness, withdrawal, or visible anxiety when the caregiver is present. Sexual abuse: bruising or injury to genital areas, or patient disclosure. Financial abuse: sudden changes in assets, unpaid bills when resources should be available, a caregiver controlling access to money. Neglect: dehydration, malnutrition, untreated wounds, unsanitary conditions beyond the patient's ability to control. Document what you observe — objectively, factually, and immediately.",A clinical illustration showing observable abuse indicators grouped by type. Medical education style. Neutral and factual. No graphic violence.,A 45-second animated categorized list. Each abuse type appears with observable indicators and brief documentation guidance. Clean and educational tone.,45 seconds
ACHC-ART-M08 — Patient Rights & Responsibilities,Journey/M08/Lesson 3/Card 3 — Challenge,"Scenario. The patient has bilateral bruises at different stages of healing. She says she bumps into things. Her adult grandson, the primary caregiver, is in the room. She looks at the floor when he speaks and avoids eye contact. List your observations, your suspicion level, and your exact reporting obligations and timeline.",,, 
ACHC-ART-M09 — Corporate Compliance,Journey/M09/Lesson 1/Card 1 — Summary,"A corporate compliance program exists to prevent, detect, and correct violations before they become legal events. Without a compliance program, a single billing error can become a False Claims Act case. A single undisclosed payment can become an Anti-Kickback violation. Every employee is part of the program — including you.",A professional healthcare compliance meeting with a diverse staff group reviewing documents. Conference room setting. Photorealistic.,A 30-second animated card. Three pillars labeled: Prevent — Detect — Correct. Each shows a relevant scenario icon. Text: Every employee is part of the program.,30 seconds
ACHC-ART-M09 — Corporate Compliance,Journey/M09/Lesson 1/Card 2 — Content,"The seven OIG elements are: written policies and standards of conduct, a designated Compliance Officer, effective training and education for all employees, open lines of communication including anonymous reporting, internal monitoring and auditing, consistent enforcement and discipline, and prompt corrective action. Your personal role in this program is simple: complete required training, report concerns promptly through authorized channels, and never falsify documentation.",A clean pyramid infographic showing the 7 OIG compliance program elements. Professional corporate compliance design. Clean and educational.,A 45-second animated pyramid build. Seven elements appear from bottom to top. Your role appears at the bottom of the screen: Complete Training — Report Concerns — Never Falsify.,45 seconds
ACHC-ART-M09 — Corporate Compliance,Journey/M09/Lesson 1/Card 3 — Challenge,"Scenario. Your supervisor says: just sign the visit note for last Thursday. We know you were there. The EVV system didn't record it. I need it submitted today for billing. You were at the visit. What is the compliance issue? What do you do?",,, 
ACHC-ART-M09 — Corporate Compliance,Journey/M09/Lesson 2/Card 1 — Summary,"Every visit note you complete feeds into a Medicare or Medicaid claim. Every claim is a federal attestation that the care was medically necessary and properly delivered. Rounding up your visit time. Documenting a service you didn't provide. Signing a note without reviewing it. These are not administrative errors — they are potential False Claims Act violations.",A nurse completing a visit note on a tablet with a Medicare claim document visible overlaid in a transparent layer. Symbolic and professional. Photorealistic.,A 30-second animated card. Visit note transforms into a Medicare claim. Bold text: Your documentation = a federal attestation. FCA consequence icons appear.,30 seconds
ACHC-ART-M09 — Corporate Compliance,Journey/M09/Lesson 2/Card 2 — Content,"The False Claims Act imposes civil penalties of thirteen thousand to twenty-six thousand dollars per false claim, plus treble damages. Criminal penalties include up to five years in prison. The Anti-Kickback Statute prohibits anything of value exchanged to induce referrals — this includes gift cards, meals, and favors between employees and vendors. Remember the 60-day rule: if the agency identifies an overpayment from Medicare or Medicaid, it must be returned within sixty days of identification. Keeping an identified overpayment is itself a false claim.",A legal scales icon with FCA dollar amounts on one side and compliance checkmark on the other. Professional legal compliance design.,A 45-second animated card. FCA penalties displayed. AKS examples appear: gift card meal favor — each with a red X. 60-day clock animation for overpayment return.,45 seconds
ACHC-ART-M09 — Corporate Compliance,Journey/M09/Lesson 2/Card 3 — Challenge,"Scenario. Your coworker says she always adds five to seven minutes to her EVV entries. She says the company bills more and everyone does it. Is this fraud, waste, or abuse? What is your obligation? What is the personal risk to your coworker and the risk to the agency?",,, 
ACHC-ART-M09 — Corporate Compliance,Journey/M09/Lesson 3/Card 1 — Summary,"Multiple federal laws protect employees who report compliance concerns in good faith. The False Claims Act, HIPAA, and OSHA all contain anti-retaliation provisions. You cannot be terminated, demoted, harassed, or have your hours reduced because you made a report. The compliance hotline exists specifically for this purpose.",A nurse confidently picking up a phone to call a compliance hotline. Professional and empowered expression. Clean office setting. Photorealistic.,A 30-second animated card. Three federal law shields: FCA, HIPAA, OSHA. Each shows anti-retaliation icon. Text: You are protected. Report without fear.,30 seconds
ACHC-ART-M09 — Corporate Compliance,Journey/M09/Lesson 3/Card 2 — Content,"Three internal reporting channels: your direct supervisor for general concerns, the Compliance Officer for compliance-specific issues, and the anonymous hotline for any concern where you want confidentiality. External channel: the OIG Hotline at 1-800-HHS-TIPS for fraud involving federal programs. The False Claims Act also contains a qui tam provision — if you bring a lawsuit about fraud against the federal government and it is validated, you may receive fifteen to thirty percent of the government's recovery.",A clean reporting flowchart showing three internal channels and one external channel with labeled icons. Professional compliance communications design.,A 45-second animated reporting channel map. Three internal pathways to a compliance officer icon. External pathway to OIG hotline. Qui tam callout with percentage icon for financial protection.,45 seconds
ACHC-ART-M09 — Corporate Compliance,Journey/M09/Lesson 3/Card 3 — Challenge,"Scenario. Three weeks ago you reported a billing concern through the anonymous hotline. This week your hours were cut thirty percent and you received your first negative performance review in two years. Nothing else changed. Do you have a retaliation claim? What is your evidence? What are your options?",,, 
ACHC-ART-M10 — Ethics in Healthcare,Journey/M10/Lesson 1/Card 1 — Summary,"Healthcare ethics governs decisions where law and policy are silent, ambiguous, or in conflict with each other. The four bioethical principles — autonomy, beneficence, non-maleficence, and justice — provide a framework for the hardest decisions you will face in the field. Learning to apply them before you encounter the situation is what makes the difference.",A home health nurse pausing thoughtfully before entering a patient's room. Contemplative and professional. Warm corridor light. Photorealistic.,A 30-second animated card. Four principle icons appear: Autonomy — Beneficence — Non-maleficence — Justice. Text: Ethics applies where policy is silent.,30 seconds
ACHC-ART-M10 — Ethics in Healthcare,Journey/M10/Lesson 1/Card 2 — Content,"The four principles are: Autonomy — the patient's right to make decisions about their own care, even ones you disagree with. Beneficence — your duty to act in the patient's best interest. Non-maleficence — your duty to avoid causing harm, including harm from inaction. And Justice — fair, equitable access to care regardless of race, religion, ability to pay, or social status. When principles conflict — most commonly when patient autonomy and non-maleficence are in tension — the Ethics Committee is available for consultation.",Four labeled principle definition cards in a clean grid. Medical ethics education visual style. Professional and neutral.,A 45-second animated card. Four principles defined one at a time with a healthcare home visit scenario for each. Ethics Committee consultation icon appears at the end for conflict resolution.,45 seconds
ACHC-ART-M10 — Ethics in Healthcare,Journey/M10/Lesson 1/Card 3 — Challenge,"Scenario. A patient with full capacity refuses her prescribed blood thinner. She's afraid of the side effects she read about online. Her husband insists you make sure she takes it. What ethical principle is at stake? What is your obligation to the patient, to the husband, and to the physician?",,, 
ACHC-ART-M10 — Ethics in Healthcare,Journey/M10/Lesson 2/Card 1 — Summary,"An advance directive is the patient's legally recognized voice for a time when they can no longer speak for themselves. Honoring it — even when a family member is pressuring you not to — is both an ethical obligation and a legal requirement. The patient made this decision when they had capacity. Your role is to honor it.",A DNR document displayed on a bedside table next to a patient who is peacefully resting. A nurse is noting its location. Quiet and dignified. Photorealistic.,A 30-second animated card. Advance directive icon. Family pressure arrow pointing at the document — a shield blocks it. Text: The patient's voice prevails.,30 seconds
ACHC-ART-M10 — Ethics in Healthcare,Journey/M10/Lesson 2/Card 2 — Content,"The most common ethical conflict in home health is a family demanding aggressive intervention when the patient has a valid DNR or POLST. Your resolution framework has four steps. First: honor the directive. Second: call your supervisor and the on-call physician. Third: document the family's statement verbatim — exact words, time, who was present. Fourth: request Ethics Committee consultation if the conflict cannot be resolved immediately. Do not abandon care. Continue comfort measures and attempt to de-escalate the family's distress.",A nurse on the phone in a patient's bedroom. A family member is visible in the background gesturing. Nurse is calm and focused. Photorealistic.,A 45-second animated four-step resolution framework. Each step appears numbered. Step 3 highlights documentation: Verbatim — Time — Who was present. Ethics Committee consultation icon at Step 4.,45 seconds
ACHC-ART-M10 — Ethics in Healthcare,Journey/M10/Lesson 2/Card 3 — Challenge,"Scenario. The patient is deteriorating — altered mental status, labored breathing, mottled extremities. A valid physician-signed DNR is on file. One child says follow the DNR. The other says call 911 and do everything. What do you do? What does the law require? What does ethics require?",,, 
ACHC-ART-M10 — Ethics in Healthcare,Journey/M10/Lesson 3/Card 1 — Summary,"Professional boundary violations are not always dramatic. They start small — accepting a gift, a personal phone call, a social media connection — and escalate. Boundaries protect patients from exploitation and workers from liability. The therapeutic relationship depends on a clear professional boundary. Once crossed, it is very difficult to restore.",A professional boundary illustration showing a nurse and patient on opposite sides of a clear professional line. Clean and symbolic. Educational healthcare style.,A 30-second animated card. Small boundary violations appear and escalate: gift card — phone call — social media — financial transaction. Text: Small crossings become large violations.,30 seconds
ACHC-ART-M10 — Ethics in Healthcare,Journey/M10/Lesson 3/Card 2 — Content,"Boundary violations include accepting money, accepting gifts beyond the agency's policy threshold, connecting with patients on personal social media, providing care for friends or family outside the agency, entering into financial transactions with patients, and any form of sexual contact. The Ethics Committee is available to any employee, patient, or family member who faces an ethical dilemma they cannot resolve independently. Request a consultation through your supervisor or the Compliance Officer. Your consultation is confidential.",A clean labeled list of boundary violation categories on a professional healthcare background. Clear and educational. No graphic content.,A 45-second animated list. Each violation category appears with an X icon. Ethics Committee access path shown as a clear and non-threatening pathway: Supervisor or Compliance Officer. Confidential label.,45 seconds
ACHC-ART-M10 — Ethics in Healthcare,Journey/M10/Lesson 3/Card 3 — Challenge,"Scenario. A long-term patient you genuinely like and respect hands you one hundred dollars in cash at the end of a visit. She says: this is just a thank-you, you've been so kind for two years, no one has to know. What is the ethical issue? What do you say? What do you document? What happens if you accept?",,, 
ACHC-ART-M11 — TB & Blood Borne Pathogens,Journey/M11/Lesson 1/Card 1 — Summary,"Three pathogens drive bloodborne exposure risk in home health: hepatitis B, hepatitis C, and HIV. All three are transmitted through direct contact with infected blood or certain body fluids via a mucous membrane, a needlestick, or non-intact skin. HBV is the most transmissible — a needlestick from an HBV-positive patient carries a thirty percent infection risk without vaccination. Standard precautions prevent exposure to all three.",Three labeled pathogen icons — HBV HCV HIV — on a clean medical background with transmission route labels. Professional medical illustration.,A 30-second animated card. Three pathogen icons appear with risk-per-needlestick percentages. Transmission routes labeled. Standard precautions shield covers all three. Text: One standard. Three protections.,30 seconds
ACHC-ART-M11 — TB & Blood Borne Pathogens,Journey/M11/Lesson 1/Card 2 — Content,"Transmission by needlestick risk: HBV carries a thirty percent risk per needlestick in an unvaccinated person. HCV carries a 1.8 percent risk. HIV carries 0.3 percent. HBV vaccination is required for healthcare workers — three-dose series. For HCV, there is no vaccine, but early treatment is highly effective. For HIV, there is no cure, but post-exposure prophylaxis started within seventy-two hours is highly effective. These pathogens are not transmitted by saliva alone, tears, sweat, or urine on intact skin. The exposure requires a portal of entry.",A risk comparison infographic showing three pathogens with transmission percentages and vaccine availability indicators. Clean and factual medical design.,A 45-second animated risk comparison. Three columns: HBV — HCV — HIV. Each shows needlestick percentage, vaccine availability, and treatment option. Non-transmission routes listed at bottom.,45 seconds
ACHC-ART-M11 — TB & Blood Borne Pathogens,Journey/M11/Lesson 1/Card 3 — Challenge,"Scenario. During a blood draw, the vacutainer disengages and blood splashes into your eyes. You are not wearing eye protection. The patient's bloodborne pathogen status is unknown. List your immediate response steps in order. What information about the source patient do you need, and why?",,, 
ACHC-ART-M11 — TB & Blood Borne Pathogens,Journey/M11/Lesson 2/Card 1 — Summary,"The post-exposure protocol is a timed medical response. Each step has a specific time requirement, and deviation from the sequence reduces treatment effectiveness and creates documentation gaps that can affect workers' compensation claims and legal liability. Know the sequence before you need it.",A nurse washing her hand at a sink immediately after an exposure event. Urgent but controlled demeanor. Clean home health setting. Photorealistic.,A 30-second animated card. A countdown clock ticking from exposure to 2 hours — 72 hours — showing decreasing effectiveness bars. Text: The protocol is timed. Know it now.,30 seconds
ACHC-ART-M11 — TB & Blood Borne Pathogens,Journey/M11/Lesson 2/Card 2 — Content,"The five steps. One: immediate first aid. For a needlestick, remove your glove, wash with soap and water for at least thirty seconds. Do not squeeze or try to suck out the wound. For a splash: flush with water for fifteen minutes. Two: call your supervisor immediately — not at the end of the shift. Three: seek medical evaluation at the designated facility within two hours. This is where the PEP decision is made. Four: provide source patient information to facilitate bloodborne pathogen testing if the patient consents. Five: complete the exposure incident report before you leave for the day.",A five-step numbered protocol infographic with timer icons for each step. Clean medical procedure design.,A 45-second animated five-step post-exposure protocol. Each step with time-requirement labels. Step 3 flashes urgency: Within 2 Hours. Step 5 shows completion requirement: Before end of day.,45 seconds
ACHC-ART-M11 — TB & Blood Borne Pathogens,Journey/M11/Lesson 2/Card 3 — Challenge,"Scenario. You step over a used needle on the floor and it punctures through your shoe and nicks your ankle. The patient is on dialysis. You don't know her bloodborne pathogen status. It is 4:45 PM on a Friday. List your first four actions in sequence. What is the time-sensitive factor in this scenario?",,, 
ACHC-ART-M11 — TB & Blood Borne Pathogens,Journey/M11/Lesson 3/Card 1 — Summary,"Pulmonary tuberculosis is transmitted by airborne droplet nuclei — tiny particles that remain suspended in the air for hours after an infectious person coughs. A surgical mask filters large droplets. It does not filter airborne particles. An N95 respirator filters at least ninety-five percent of airborne particles when properly fitted. This distinction is the difference between protection and exposure.",A side-by-side comparison of a surgical mask and an N95 respirator. Clear and educational. Medical equipment photography.,A 30-second animated card. Surgical mask icon with red X — airborne droplet nuclei pass through. N95 respirator icon with green checkmark — droplet nuclei blocked. Text: Airborne protection requires airborne equipment.,30 seconds
ACHC-ART-M11 — TB & Blood Borne Pathogens,Journey/M11/Lesson 3/Card 2 — Content,"The active TB symptom cluster: productive cough lasting more than three weeks, night sweats, unexplained weight loss, hemoptysis — blood-tinged sputum — and low-grade fever. High-risk indicators: recent immigration from endemic areas, HIV, diabetes, or shelter exposure. N95 protocol: you must be fit-tested annually. Before every use, perform a seal check — block the valve and breathe in to confirm the mask seals. If you suspect active pulmonary TB and there is no isolation order: don your N95, open windows to increase ventilation, notify your supervisor and the physician immediately, and defer non-urgent procedures until an isolation order is in place.",A clinical illustration showing TB symptom cluster icons with a checklist and an N95 respirator seal-check diagram. Medical education design.,A 45-second animated card. TB symptom checklist builds. N95 seal-check steps animated. Suspected TB response protocol: Don N95 — Open Windows — Notify — Defer non-urgent care.,45 seconds
ACHC-ART-M11 — TB & Blood Borne Pathogens,Journey/M11/Lesson 3/Card 3 — Challenge,"Scenario. Your patient has been coughing for six weeks. Today she coughs blood-tinged sputum in your direction during vital signs. She reports night sweats and has lost twelve pounds. No TB orders are in her chart. You have a surgical mask — not an N95. What do you do right now? What is the risk? Who do you notify and when?",,, 
ACHC-ART-M12 — Medical Device Act,Journey/M12/Lesson 1/Card 1 — Summary,"The FDA's Medical Device Reporting system exists because a device failure is rarely isolated. The same oxygen concentrator model that failed in your patient's home may be deployed in hundreds of other homes. Your MDR report triggers an FDA investigation that can lead to a recall, a safety communication, or a design correction that protects patients across the country.",A home health nurse examining an oxygen concentrator with an alarm indicator showing. Focused and professional. Patient visible in the background. Photorealistic.,A 30-second animated card. Single device failure icon spreads to a national map of home patients. FDA investigation icon triggers a recall alert. Text: Your report protects the next patient.,30 seconds
ACHC-ART-M12 — Medical Device Act,Journey/M12/Lesson 1/Card 2 — Content,"Three triggers for an MDR. First: the device contributed to or caused a patient death. Second: the device contributed to or caused a serious injury — fractures, burns, significant hemorrhage, hospitalization. Third: the device malfunctioned in a way that could cause death or serious injury if it recurs — even if no harm occurred this time. Devices covered include oxygen concentrators, infusion pumps, hospital beds, patient lifts, glucometers, IV catheters, and wound VAC systems. Malfunction potential alone is a reportable trigger.",A three-trigger decision tree infographic showing MDR reportability criteria. Clean legal-medical design. Professional and factual.,A 45-second animated decision tree. Three MDR triggers appear as branching yes/no questions. Device type examples scroll beneath. Text: Potential matters — actual harm is not required.,45 seconds
ACHC-ART-M12 — Medical Device Act,Journey/M12/Lesson 1/Card 3 — Challenge,"Scenario. An oxygen concentrator has been alarming for two days. The family silenced it each time. Today the patient has an SpO2 of 78% and is acutely confused. The concentrator appears to have failed. Is this an MDR-reportable event? List your first three actions. What device information do you capture immediately?",,, 
ACHC-ART-M12 — Medical Device Act,Journey/M12/Lesson 2/Card 1 — Summary,"The ten working day deadline for FDA Form 3500A begins when the reportable event is identified. Not when the investigation is complete. Not when the patient is discharged. Not when your supervisor reviews the incident. The identification date is Day Zero — Day Ten is the deadline.",A calendar with Day 0 labeled Identification and Day 10 circled in red. Clean regulatory deadline graphic.,A 30-second animated timeline. Day 0 marked: Event Identified. Clock ticking. Key milestones labeled. Day 10 flashes in red: Deadline — FDA Form 3500A Due.,30 seconds
ACHC-ART-M12 — Medical Device Act,Journey/M12/Lesson 2/Card 2 — Content,"The MDR reporting chain has five steps. One: you identify a device event — notify your supervisor immediately and document. Two: supervisor escalates to the Administrator or Risk Manager. Three: Risk Manager confirms reportability through QAPI review. Four: the Administrator submits FDA Form 3500A to the FDA and notifies the manufacturer within ten working days of the identification date. Five: preserve the device — do not return it, repair it, or discard it until risk management releases it. Near-misses can be reported voluntarily using MedWatch Form 3500.",A five-step MDR reporting chain flowchart. Professional regulatory process design with labeled icons for each step.,A 45-second animated reporting chain. Five steps appear sequentially with role labels. Step 5 highlights device preservation with a red stop icon over return and repair actions.,45 seconds
ACHC-ART-M12 — Medical Device Act,Journey/M12/Lesson 2/Card 3 — Challenge,"Scenario. On Day One you documented a patient fall linked to a bed rail failure. On Day Eight you learn in a QA review that no MDR was initiated. The deadline is Day Ten. Who should have acted by now? What must happen in the next two working days? What is the consequence of missing the deadline?",,, 
ACHC-ART-M12 — Medical Device Act,Journey/M12/Lesson 3/Card 1 — Summary,"Your contemporaneous documentation of a device failure event is the primary evidentiary record. It informs the MDR submission, the QAPI investigation, the manufacturer's root cause analysis, and any civil litigation. Document immediately after the event — before you leave the home, before you speak to anyone else. Memory degrades rapidly in the aftermath of an adverse event.",A nurse documenting on a tablet immediately after an incident in a patient's room. Focused and urgent expression. Photorealistic. Clean and professional.,A 30-second animated card. Documentation icon connects to MDR — QAPI — Manufacturer — Litigation icons. Bold text: Document immediately. Before you leave. Before you speak.,30 seconds
ACHC-ART-M12 — Medical Device Act,Journey/M12/Lesson 3/Card 2 — Content,"Required documentation elements for a device event. One: device name, manufacturer, model, serial number, and lot number. Two: date, time, and exact location of the event. Three: the exact sequence of the malfunction — what happened in what order. Four: patient status before, during, and after the event. Five: any relevant symptoms from preceding visits. Six: what you did immediately following the event. Seven: who you notified and at what time. If possible, photograph the device before removal. Never re-use a device that was involved in an adverse patient event.",A clinical documentation form for device event reporting with seven numbered fields clearly labeled. Professional medical document design.,A 45-second animated documentation checklist. Seven required elements appear as fields being completed one at a time. Camera icon for photograph. Red X over device re-use icon.,45 seconds
ACHC-ART-M12 — Medical Device Act,Journey/M12/Lesson 3/Card 3 — Challenge,"Scenario. A patient lift strap breaks during a transfer. The patient fractures her wrist. In your last three visit notes, you documented that the lift was making a clicking noise. The family reported it to the DME company with no response. What specific information must your documentation include today? How does your prior documentation affect the MDR? What do you do with the device?",,,
